Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CL-Brain,0.772,1127.240,2.148,1241,4.240
CL-Brain,0.734,1129.146,1.952,1216,1.323
CL-Brain,0.744,1131.067,2.009,1235,nan
CL-Brain,0.752,1133.300,2.538,1224,1.240
CL-Brain,0.746,1135.205,1.927,1207,0.657
CL-Brain,0.742,1137.029,1.837,1232,4.238
CL-Brain,0.742,1139.162,2.415,1242,4.990
CL-Brain,0.747,1141.243,2.293,1219,13.323
CL-Brain,0.722,1143.085,1.885,1210,-0.010
CL-Brain,0.738,1144.876,1.747,1258,3.490
CL-Brain,0.767,1146.944,2.220,1222,16.490
CL-Brain,0.883,1149.053,1.843,1460,7.188
CL-Brain,1.192,1152.242,3.363,2033,-0.010
CL-Brain,0.732,1154.628,2.820,1221,-0.010
CL-Brain,1.109,1157.398,2.873,1820,nan
CL-Brain,0.793,1159.744,2.629,1265,-0.010
CL-Brain,0.750,1161.964,2.567,1203,1.990
CL-Brain,0.879,1164.130,2.178,1554,11.990
CL-Brain,0.750,1166.458,2.701,1263,11.990
CL-Brain,0.763,1168.407,1.993,1235,nan
CL-Brain,0.972,1170.575,1.989,1561,3.990
CL-Brain,0.738,1172.720,2.420,1202,10.990
CL-Brain,0.750,1174.512,1.724,1208,10.823
CL-Brain,0.734,1176.393,1.916,1203,1.990
CL-Brain,0.745,1178.655,2.643,1202,0.990
CL-Brain,0.774,1180.601,1.991,1261,13.990
CL-Brain,0.754,1182.506,1.931,1288,0.490
CL-Brain,0.749,1184.521,2.147,1257,11.490
CL-Brain,0.763,1186.383,1.825,1209,1.323
CL-Brain,1.163,1189.308,2.937,1922,4.314
CL-Brain,0.739,1191.468,2.402,1207,2.490
CL-Brain,1.046,1194.056,2.625,1771,-0.010
CL-Brain,0.731,1196.474,2.951,1209,3.740
CL-Brain,0.769,1198.433,2.004,1244,4.990
CL-Brain,0.961,1201.033,2.826,1574,-0.010
CL-Brain,0.747,1203.009,2.043,1234,7.990
CL-Brain,0.752,1204.902,1.923,1218,9.490
CL-Brain,0.740,1206.754,1.846,1202,9.490
CL-Brain,0.754,1208.669,1.932,1245,3.490
CL-Brain,0.733,1210.404,1.665,1237,-0.010
CL-Brain,0.769,1212.335,1.932,1265,1.490
CL-Brain,0.747,1214.262,1.978,1202,4.740
CL-Brain,0.731,1216.020,1.700,1242,-0.010
CL-Brain,0.735,1218.093,2.312,1212,-0.010
CL-Brain,0.803,1220.174,2.166,1326,-0.010
CL-Brain,0.734,1222.300,2.382,1212,28.990
CL-Brain,0.750,1224.162,1.875,1262,22.990
CL-Brain,0.733,1226.408,2.608,1207,5.298
CL-Brain,1.051,1228.820,2.287,1781,-0.010
CL-Brain,0.751,1231.078,2.591,1247,-0.010
CL-Brain,0.752,1233.417,2.797,1217,5.240
CL-Brain,0.747,1235.376,1.993,1259,6.190
CL-Brain,0.763,1237.209,1.772,1311,14.990
CL-Brain,0.759,1239.315,2.289,1231,3.990
CL-Brain,0.744,1241.240,1.982,1262,1.990
CL-Brain,0.753,1243.263,2.190,1229,5.990
CL-Brain,0.745,1245.113,1.840,1229,7.990
CL-Brain,0.763,1247.149,2.173,1250,5.323
CL-Brain,0.740,1249.188,2.234,1213,0.990
CL-Brain,0.745,1251.163,2.081,1211,9.490
CL-Brain,0.745,1253.269,2.303,1255,-0.010
CL-Brain,0.752,1255.148,1.870,1256,9.990
CL-Brain,0.741,1257.126,2.127,1224,0.657
CL-Brain,0.761,1258.964,1.788,1262,12.740
CL-Brain,0.729,1260.773,1.824,1221,-0.010
CL-Brain,0.760,1263.050,2.579,1263,0.990
CL-Brain,1.221,1265.688,2.296,1949,3.721
CL-Brain,0.734,1268.327,3.263,1240,-0.010
CL-Brain,1.039,1270.486,1.863,1690,nan
CL-Brain,0.758,1272.945,3.000,1250,5.323
CL-Brain,0.755,1274.969,2.130,1208,3.990
