Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CL-Brain,0.713,260.104,1.604,1201,13.490
CL-Brain,0.749,262.016,1.942,1246,-0.010
CL-Brain,0.741,264.395,2.874,1232,3.990
CL-Brain,0.745,266.144,1.655,1214,6.490
CL-Brain,0.742,267.976,1.812,1262,2.240
CL-Brain,0.747,269.776,1.742,1256,-0.010
CL-Brain,1.268,272.912,3.176,2091,3.855
CL-Brain,0.770,275.397,2.902,1239,0.133
CL-Brain,1.039,277.482,1.700,1753,-0.010
CL-Brain,0.749,280.228,3.524,1262,1.490
CL-Brain,0.728,282.002,1.765,1217,2.990
CL-Brain,0.805,284.017,2.001,1366,5.590
CL-Brain,0.816,286.363,2.686,1212,3.323
CL-Brain,0.756,288.172,1.749,1232,3.990
CL-Brain,0.732,290.061,1.934,1229,-0.010
CL-Brain,0.776,291.837,1.661,1224,5.990
CL-Brain,0.730,294.181,2.849,1219,1.190
CL-Brain,0.761,296.101,1.955,1214,-0.010
CL-Brain,0.782,297.992,1.822,1283,5.490
CL-Brain,0.746,299.907,1.959,1209,5.990
CL-Brain,0.711,302.084,2.592,1222,10.990
CL-Brain,0.763,303.978,1.893,1223,7.990
CL-Brain,0.750,305.977,2.064,1271,-0.010
CL-Brain,0.717,307.708,1.691,1232,-0.010
CL-Brain,0.806,309.838,2.337,1325,9.235
CL-Brain,1.187,312.940,3.220,1976,-0.010
CL-Brain,0.762,315.358,2.802,1244,-0.010
CL-Brain,1.071,318.114,2.951,1743,1.590
CL-Brain,0.745,320.164,2.168,1215,10.990
CL-Brain,0.765,322.030,1.813,1207,1.157
CL-Brain,0.730,323.985,2.091,1235,nan
CL-Brain,0.820,326.199,2.427,1374,2.990
CL-Brain,0.735,328.081,1.919,1206,5.990
CL-Brain,0.739,329.836,1.677,1240,4.990
CL-Brain,0.754,332.412,3.239,1235,nan
CL-Brain,0.737,334.289,1.905,1240,1.657
CL-Brain,0.759,336.099,1.754,1223,5.990
CL-Brain,0.728,337.955,1.871,1218,10.657
CL-Brain,0.756,340.175,2.570,1235,nan
CL-Brain,0.729,342.048,1.924,1262,14.990
CL-Brain,0.728,344.017,2.078,1242,-0.010
CL-Brain,0.736,345.823,1.779,1208,10.990
CL-Brain,0.985,348.462,2.912,1658,12.188
CL-Brain,1.189,351.505,3.084,1939,-0.010
CL-Brain,0.753,353.669,2.366,1208,-0.010
CL-Brain,0.752,355.981,2.741,1257,-0.010
CL-Brain,0.957,358.126,1.958,1593,-0.010
CL-Brain,0.718,360.238,2.333,1243,5.323
CL-Brain,0.738,362.000,1.685,1252,3.990
CL-Brain,0.770,364.130,2.392,1235,nan
CL-Brain,0.816,366.243,2.192,1351,5.561
CL-Brain,0.752,368.351,2.257,1291,1.490
CL-Brain,0.738,370.582,2.623,1300,nan
CL-Brain,0.730,372.477,1.966,1230,17.490
CL-Brain,0.826,374.425,1.850,1327,13.990
CL-Brain,0.753,376.378,2.002,1253,-0.010
CL-Brain,0.743,378.522,2.425,1260,4.490
CL-Brain,0.759,380.408,1.881,1235,nan
CL-Brain,0.744,382.474,2.217,1234,0.490
CL-Brain,0.732,384.168,1.587,1223,3.990
CL-Brain,0.886,386.466,2.186,1518,4.998
CL-Brain,1.197,389.544,3.127,2038,-0.010
CL-Brain,1.273,392.654,3.075,2066,-0.010
CL-Brain,0.735,395.463,3.661,1234,-0.010
CL-Brain,1.113,397.680,1.806,1906,-0.010
CL-Brain,0.733,400.615,3.909,1246,2.490
CL-Brain,1.035,402.974,2.247,1755,nan
CL-Brain,0.749,405.312,2.743,1219,12.190
CL-Brain,0.741,407.174,1.872,1207,4.990
CL-Brain,0.726,409.209,2.281,1234,12.390
CL-Brain,0.737,411.049,1.862,1216,3.323
CL-Brain,0.788,412.920,1.805,1235,nan
CL-Brain,0.737,414.920,2.118,1210,1.740
CL-Brain,0.750,416.909,2.121,1246,6.323
CL-Brain,0.769,418.909,2.081,1243,-0.010
CL-Brain,0.746,420.733,1.812,1228,-0.010
CL-Brain,0.755,422.525,1.693,1246,6.323
CL-Brain,0.825,424.574,2.061,1422,4.788
CL-Brain,1.181,427.586,3.047,1925,-0.010
CL-Brain,0.752,429.709,2.308,1235,nan
CL-Brain,0.743,432.116,2.941,1205,-0.010
CL-Brain,1.032,434.442,2.169,1683,10.323
CL-Brain,0.725,436.639,2.466,1274,-0.010
CL-Brain,0.738,438.968,2.803,1235,nan
CL-Brain,1.012,441.143,1.932,1638,-0.010
CL-Brain,0.745,443.233,2.283,1204,7.990
CL-Brain,0.769,445.211,2.016,1210,6.115
CL-Brain,0.745,447.374,2.467,1220,-0.010
CL-Brain,0.809,449.294,1.862,1395,7.990
CL-Brain,0.765,451.182,1.865,1264,0.990
CL-Brain,0.735,453.124,2.005,1265,-0.010
CL-Brain,0.769,455.238,2.291,1283,0.323
CL-Brain,0.751,457.071,1.809,1241,-0.010
CL-Brain,0.733,458.901,1.825,1254,-0.010
CL-Brain,0.729,460.625,1.662,1218,8.490
CL-Brain,0.724,462.551,2.088,1210,9.938
CL-Brain,1.170,465.698,3.325,1947,-0.010
CL-Brain,0.738,467.785,2.264,1244,-0.010
CL-Brain,1.114,470.524,2.753,1865,-0.010
CL-Brain,0.764,472.940,2.821,1238,-0.010
CL-Brain,0.755,474.860,1.928,1211,13.990
CL-Brain,0.941,477.244,2.497,1570,0.990
CL-Brain,0.740,479.059,1.799,1235,nan
CL-Brain,0.720,481.274,2.520,1225,10.790
CL-Brain,0.742,483.099,1.802,1208,-0.010
CL-Brain,0.828,485.327,2.436,1355,-0.010
CL-Brain,0.739,487.349,2.209,1241,8.990
CL-Brain,0.751,489.250,1.917,1235,nan
CL-Brain,0.755,491.224,2.031,1257,-0.010
CL-Brain,0.759,493.387,2.424,1297,7.990
CL-Brain,0.741,495.162,1.698,1222,-0.010
CL-Brain,0.727,496.916,1.702,1212,1.990
CL-Brain,0.725,498.846,2.024,1218,-0.010
CL-Brain,0.741,500.762,1.967,1205,4.588
CL-Brain,1.221,503.445,2.428,1943,-0.010
CL-Brain,0.765,505.764,2.619,1254,-0.010
CL-Brain,1.097,508.398,2.621,1818,3.990
CL-Brain,0.745,510.667,2.590,1232,5.657
CL-Brain,0.735,512.807,2.218,1245,1.990
CL-Brain,0.883,515.061,2.402,1535,-0.010
CL-Brain,0.724,516.912,1.912,1231,6.990
CL-Brain,0.729,518.998,2.252,1260,6.490
CL-Brain,0.739,520.726,1.644,1219,4.323
CL-Brain,0.735,522.895,2.482,1208,-0.010
CL-Brain,0.707,524.748,1.932,1244,3.990
CL-Brain,0.741,526.568,1.789,1215,2.323
CL-Brain,0.775,528.839,2.542,1261,2.740
CL-Brain,0.735,530.757,2.033,1241,1.657
CL-Brain,0.733,532.573,1.826,1210,3.390
CL-Brain,0.724,534.466,1.930,1216,19.490
CL-Brain,0.764,536.368,1.893,1242,-0.010
CL-Brain,0.793,538.256,1.863,1346,4.469
CL-Brain,1.198,541.305,3.118,1995,-0.010
CL-Brain,0.733,543.432,2.344,1229,-0.010
CL-Brain,1.098,546.345,3.147,1811,-0.010
CL-Brain,0.731,548.586,2.601,1204,6.990
CL-Brain,0.735,550.388,1.785,1202,15.490
CL-Brain,0.974,553.118,3.082,1627,-0.010
CL-Brain,0.756,555.249,2.338,1246,8.990
CL-Brain,0.726,557.024,1.751,1235,nan
CL-Brain,0.898,559.344,2.377,1517,-0.010
CL-Brain,0.739,561.478,2.416,1231,3.657
CL-Brain,0.741,563.479,2.139,1245,7.240
CL-Brain,0.770,565.309,1.749,1213,1.323
CL-Brain,0.741,567.278,2.097,1229,9.323
CL-Brain,0.739,569.465,2.466,1223,15.490
CL-Brain,0.760,571.310,1.824,1294,14.490
CL-Brain,0.746,573.167,1.840,1217,3.740
CL-Brain,0.783,575.181,2.115,1278,14.740
CL-Brain,1.119,577.869,2.607,1861,2.188
CL-Brain,0.745,580.076,2.454,1264,-0.010
CL-Brain,1.026,582.755,2.854,1698,-0.010
CL-Brain,0.737,584.556,1.782,1221,-0.010
CL-Brain,0.730,586.722,2.444,1202,2.990
CL-Brain,1.048,589.069,2.137,1714,8.490
CL-Brain,0.739,591.165,2.355,1213,6.990
CL-Brain,0.753,593.203,2.187,1264,0.990
CL-Brain,0.767,595.434,2.449,1259,2.323
CL-Brain,0.809,597.332,1.829,1357,11.490
CL-Brain,0.755,599.338,2.159,1202,-0.010
CL-Brain,0.719,601.329,2.168,1225,9.490
CL-Brain,0.738,603.454,2.325,1240,11.490
CL-Brain,0.748,605.449,2.121,1256,-0.010
CL-Brain,0.844,607.294,1.672,1365,nan
CL-Brain,0.751,609.165,1.872,1253,-0.010
CL-Brain,0.729,611.002,1.846,1209,6.990
CL-Brain,0.732,613.241,2.636,1203,22.990
CL-Brain,1.124,615.777,2.335,1899,6.999
CL-Brain,0.722,618.142,2.795,1237,-0.010
CL-Brain,1.061,620.669,2.533,1791,-0.010
CL-Brain,0.750,623.056,2.801,1255,10.490
CL-Brain,1.123,625.490,2.155,1820,nan
CL-Brain,0.770,628.020,3.053,1304,3.240
CL-Brain,0.720,629.833,1.803,1244,-0.010
CL-Brain,0.884,631.966,2.107,1451,9.157
CL-Brain,0.737,634.023,2.238,1222,-0.010
CL-Brain,0.766,635.967,1.972,1308,1.240
CL-Brain,0.757,637.919,2.032,1252,-0.010
CL-Brain,0.849,640.070,2.019,1321,0.990
CL-Brain,0.729,641.966,1.948,1239,1.990
CL-Brain,0.721,643.995,2.241,1219,19.490
CL-Brain,0.742,645.829,1.832,1261,6.240
CL-Brain,0.733,647.712,1.913,1230,3.990
CL-Brain,0.746,649.464,1.655,1226,-0.010
CL-Brain,0.932,651.698,2.188,1579,3.209
CL-Brain,0.778,654.377,3.258,1244,0.847
CL-Brain,1.064,656.536,1.783,1702,-0.010
CL-Brain,0.764,659.138,3.216,1228,3.490
CL-Brain,0.766,661.327,2.485,1257,20.990
CL-Brain,0.893,663.346,1.871,1443,1.490
CL-Brain,0.722,665.246,1.964,1230,7.990
CL-Brain,0.745,667.307,2.303,1240,10.990
CL-Brain,0.727,669.666,2.805,1225,-0.010
CL-Brain,0.826,671.667,1.953,1401,5.657
CL-Brain,0.724,673.556,1.960,1211,3.740
CL-Brain,0.751,675.279,1.614,1304,8.490
CL-Brain,0.741,677.527,2.545,1263,6.323
CL-Brain,0.740,679.296,1.716,1210,-0.010
CL-Brain,0.732,681.206,2.010,1229,6.323
CL-Brain,0.759,682.985,1.718,1239,1.240
CL-Brain,0.754,684.854,1.878,1264,4.990
CL-Brain,0.741,686.948,2.264,1241,-0.010
CL-Brain,0.713,688.810,1.949,1208,1.490
CL-Brain,1.115,691.153,1.989,1853,5.438
CL-Brain,1.189,694.261,3.216,1991,-0.010
CL-Brain,0.755,696.892,3.258,1207,-0.015
CL-Brain,1.125,699.327,2.205,1915,-0.010
CL-Brain,0.745,701.545,2.499,1213,0.490
CL-Brain,1.038,704.132,2.626,1770,-0.010
CL-Brain,0.747,706.151,2.143,1241,4.990
CL-Brain,0.749,708.155,2.089,1293,5.740
CL-Brain,0.897,710.537,2.546,1529,-0.010
CL-Brain,0.739,712.590,2.223,1203,0.657
CL-Brain,0.716,714.415,1.840,1224,2.657
CL-Brain,0.725,716.476,2.254,1256,4.990
CL-Brain,0.751,718.789,2.788,1229,15.657
CL-Brain,0.807,720.771,1.992,1337,3.657
CL-Brain,0.760,722.821,2.156,1260,9.240
CL-Brain,0.734,724.745,1.982,1237,4.657
CL-Brain,0.725,726.674,2.043,1201,-0.010
CL-Brain,1.142,729.051,2.010,1854,7.375
CL-Brain,1.183,732.082,3.093,1967,0.240
CL-Brain,0.723,734.390,2.692,1221,-0.010
CL-Brain,0.749,736.394,2.175,1276,0.790
CL-Brain,0.896,738.634,2.285,1537,-0.010
CL-Brain,0.762,741.249,3.234,1257,2.990
CL-Brain,0.758,743.203,2.029,1275,15.990
CL-Brain,0.735,744.982,1.742,1209,2.657
CL-Brain,0.741,746.897,1.979,1303,12.490
CL-Brain,0.743,749.037,2.404,1224,7.240
CL-Brain,0.740,751.141,2.324,1235,nan
CL-Brain,0.746,752.975,1.818,1239,8.990
