Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.599,10.346,14.384,10296,-0.750
LearningBrain,0.545,17.794,11.762,10298,0.250
LearningBrain,0.602,24.945,11.035,10335,nan
LearningBrain,0.559,32.225,11.393,10456,-1.000
LearningBrain,0.572,39.564,11.519,10339,-1.000
LearningBrain,0.559,46.795,11.319,10415,-0.500
LearningBrain,0.555,54.074,11.550,10342,-0.500
LearningBrain,0.573,61.388,11.427,10300,2.000
LearningBrain,0.571,72.343,18.652,10279,-0.143
LearningBrain,0.593,80.085,12.360,10289,1.000
LearningBrain,0.679,88.512,13.478,10288,-0.714
LearningBrain,0.567,96.454,12.545,10269,1.000
LearningBrain,0.645,104.692,12.984,10296,2.000
LearningBrain,0.662,112.313,11.812,10242,1.000
LearningBrain,0.555,119.563,11.352,10265,1.000
LearningBrain,0.556,126.817,11.314,10270,nan
LearningBrain,0.559,134.107,11.375,10261,-1.000
LearningBrain,0.706,141.926,12.053,10269,-0.500
LearningBrain,0.585,149.560,11.991,10299,0.000
LearningBrain,0.572,157.873,13.153,10241,-1.000
LearningBrain,0.645,165.464,11.800,10271,-1.000
LearningBrain,0.599,175.107,15.199,10299,0.000
LearningBrain,0.595,182.947,12.277,10270,nan
LearningBrain,0.854,193.261,15.997,10270,nan
LearningBrain,0.621,201.604,13.145,10335,nan
LearningBrain,0.596,209.350,12.225,10270,nan
LearningBrain,0.605,217.250,12.389,10270,nan
LearningBrain,0.611,225.224,12.464,10270,nan
LearningBrain,0.587,233.144,12.671,10270,nan
LearningBrain,0.592,240.586,11.587,10270,nan
LearningBrain,0.577,248.252,12.192,10243,2.000
LearningBrain,0.586,255.838,11.835,10286,0.000
LearningBrain,0.572,263.348,11.541,10270,nan
LearningBrain,0.597,270.892,11.806,10242,-1.000
LearningBrain,0.594,278.855,12.517,10270,nan
LearningBrain,0.616,287.095,13.025,10248,1.000
LearningBrain,0.585,294.751,11.941,10301,-1.000
LearningBrain,0.891,302.921,12.428,10302,-0.500
LearningBrain,0.610,310.576,11.912,10270,nan
LearningBrain,0.620,318.297,12.032,10270,nan
LearningBrain,0.587,326.046,12.153,10270,nan
LearningBrain,0.584,333.586,11.833,10250,-0.500
LearningBrain,0.585,341.299,12.104,10302,3.000
LearningBrain,0.729,348.803,11.450,10270,nan
LearningBrain,0.582,356.595,12.222,10248,-1.000
LearningBrain,0.596,364.113,11.880,10270,nan
LearningBrain,0.588,371.765,12.051,10256,-0.500
LearningBrain,0.578,379.167,11.482,10270,nan
