Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,1.056,10.449,13.554,10318,-1.000
LearningBrain,0.548,17.451,10.550,10400,nan
LearningBrain,0.561,24.230,10.501,10400,nan
LearningBrain,0.548,30.947,10.507,10387,-1.000
LearningBrain,0.558,37.768,10.616,10400,nan
LearningBrain,0.560,44.452,10.365,10400,nan
LearningBrain,0.555,51.185,10.466,10400,nan
LearningBrain,0.577,57.870,10.349,10400,nan
LearningBrain,0.566,64.580,10.346,10400,nan
LearningBrain,0.567,71.288,10.398,10400,nan
LearningBrain,0.633,80.387,15.019,10400,nan
LearningBrain,0.564,87.243,10.634,10400,nan
LearningBrain,0.568,94.019,10.385,10400,nan
LearningBrain,0.568,100.836,10.486,10400,nan
LearningBrain,2.037,109.108,10.481,10400,nan
LearningBrain,0.570,116.011,10.648,10400,nan
LearningBrain,0.580,122.913,10.644,10400,nan
LearningBrain,0.582,129.669,10.359,10400,nan
LearningBrain,0.591,136.441,10.386,10400,nan
LearningBrain,0.585,143.249,10.509,10400,nan
LearningBrain,0.578,150.057,10.399,10400,nan
LearningBrain,0.578,156.860,10.511,10400,nan
LearningBrain,0.595,163.696,10.495,10400,nan
LearningBrain,0.588,170.544,10.530,10400,nan
LearningBrain,0.574,178.843,12.931,10400,nan
LearningBrain,0.584,185.853,10.577,10400,nan
LearningBrain,0.584,192.778,10.616,10400,nan
LearningBrain,0.597,199.670,10.525,10400,nan
LearningBrain,0.612,206.645,10.664,10400,nan
LearningBrain,0.614,213.769,10.896,10400,nan
LearningBrain,0.578,220.768,10.740,10400,nan
LearningBrain,0.593,229.993,14.547,10400,nan
LearningBrain,0.582,236.955,10.673,10400,nan
LearningBrain,0.605,244.028,10.821,10400,nan
LearningBrain,0.582,251.022,10.709,10400,nan
LearningBrain,0.590,258.022,10.709,10400,nan
LearningBrain,0.593,265.061,10.770,10400,nan
LearningBrain,0.618,272.087,10.747,10400,nan
LearningBrain,0.602,279.055,10.780,10400,nan
LearningBrain,0.603,286.070,10.697,10400,nan
LearningBrain,0.597,293.128,10.841,10400,nan
LearningBrain,0.608,300.185,10.825,10400,nan
LearningBrain,0.598,307.242,10.854,10400,nan
LearningBrain,0.601,314.368,10.920,10400,nan
LearningBrain,0.637,321.507,10.861,10400,nan
LearningBrain,0.593,328.609,10.900,10400,nan
LearningBrain,0.606,335.640,10.782,10400,nan
LearningBrain,0.596,342.650,10.768,10400,nan
