Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.895,14.761,19.658,10400,nan
LearningBrain,0.845,25.143,16.278,10400,nan
LearningBrain,0.845,35.519,15.983,10400,nan
LearningBrain,0.833,45.695,15.759,10400,nan
LearningBrain,0.849,55.825,15.658,10400,nan
LearningBrain,0.835,65.895,15.586,10400,nan
LearningBrain,0.850,75.975,15.715,10400,nan
LearningBrain,0.840,86.271,15.962,10400,nan
LearningBrain,0.836,96.312,15.502,10400,nan
LearningBrain,0.840,106.395,15.611,10400,nan
LearningBrain,0.836,116.467,15.630,10400,nan
LearningBrain,0.837,126.560,15.616,10400,nan
LearningBrain,0.841,136.580,15.478,10400,nan
LearningBrain,0.842,146.694,15.686,10400,nan
LearningBrain,0.853,156.691,15.432,10400,nan
LearningBrain,0.844,166.723,15.463,10400,nan
LearningBrain,0.843,176.781,15.544,10400,nan
LearningBrain,0.840,186.747,15.355,10400,nan
LearningBrain,0.833,196.758,15.446,10400,nan
LearningBrain,0.836,206.894,15.705,10400,nan
LearningBrain,0.853,217.058,15.674,10400,nan
LearningBrain,0.851,227.123,15.533,10400,nan
LearningBrain,0.842,237.186,15.521,10400,nan
LearningBrain,0.835,247.189,15.502,10400,nan
LearningBrain,0.839,257.220,15.518,10400,nan
LearningBrain,0.841,267.435,15.617,10400,nan
LearningBrain,0.851,277.605,15.739,10400,nan
LearningBrain,0.847,287.645,15.499,10400,nan
LearningBrain,0.851,297.674,15.472,10400,nan
LearningBrain,0.844,307.776,15.695,10400,nan
LearningBrain,0.841,317.787,15.455,10400,nan
LearningBrain,0.835,327.845,15.618,10400,nan
LearningBrain,0.846,337.874,15.533,10400,nan
LearningBrain,0.841,347.970,15.671,10400,nan
LearningBrain,0.832,357.956,15.484,10400,nan
LearningBrain,0.855,367.980,15.494,10400,nan
LearningBrain,0.834,377.880,15.469,10400,nan
LearningBrain,0.835,387.862,15.416,10400,nan
LearningBrain,0.844,397.877,15.544,10400,nan
LearningBrain,0.833,407.962,15.696,10400,nan
LearningBrain,0.853,418.024,15.612,10400,nan
LearningBrain,0.850,428.091,15.560,10400,nan
LearningBrain,0.846,438.058,15.500,10400,nan
LearningBrain,0.834,448.130,15.575,10400,nan
LearningBrain,0.850,458.255,15.618,10400,nan
LearningBrain,0.845,468.362,15.617,10400,nan
LearningBrain,0.839,478.390,15.514,10400,nan
LearningBrain,0.838,488.439,15.503,10400,nan
